기준연월,시군구명,전체이용건수,전체이용금액
201901,계룡시,52835,1608962707
201901,공주시,161138,6820958298
201901,금산군,54561,2365397628
201901,논산시,209979,9132759474
201901,당진시,406899,15952303417
201901,보령시,203334,8364176464
201901,부여군,70460,3651585018
201901,서산시,376202,15259805379
201901,서천군,54706,2589982048
201901,아산시,1200510,41868976876
201901,예산군,126244,5744481107
201901,천안시 동남구,864508,29932246058
201901,천안시 서북구,1449275,47807003606
201901,청양군,35134,1784912789
201901,태안군,74400,3312459383
201901,홍성군,202627,8584995597
201902,계룡시,46766,1416164183
201902,공주시,144299,6148462135
201902,금산군,48467,2088039945
201902,논산시,190673,7733424455
201902,당진시,359963,13966794279
201902,보령시,184408,7426175857
201902,부여군,64557,3402425030
201902,서산시,334811,13612605639
201902,서천군,49855,2427413015
201902,아산시,1073563,36160461348
201902,예산군,115954,5158889945
201902,천안시 동남구,769530,25713634185
201902,천안시 서북구,1294145,41477328161
201902,청양군,32592,1767122263
201902,태안군,65701,2997106007
201902,홍성군,183257,7948417401
201903,계룡시,56084,1588031270
201903,공주시,173565,6888021410
201903,금산군,61187,2420151360
201903,논산시,226180,8490066483
201903,당진시,439034,16668026895
201903,보령시,216740,8437975660
201903,부여군,77291,3710911442
201903,서산시,401113,15475731461
201903,서천군,60998,2922266983
201903,아산시,1306888,41797246385
201903,예산군,141127,6218646286
201903,천안시 동남구,944656,29574713632
201903,천안시 서북구,1560715,47397826840
201903,청양군,39420,1947671764
201903,태안군,82172,3724886452
201903,홍성군,226061,9290398165
201904,계룡시,55700,1608177361
201904,공주시,173986,7011759587
201904,금산군,63392,2571074583
201904,논산시,226097,8384891295
201904,당진시,434687,16455569884
201904,보령시,214960,8497107439
201904,부여군,79382,3836016058
201904,서산시,400419,15779675907
201904,서천군,59340,2854731931
201904,아산시,1299941,41055096087
201904,예산군,143412,6377575008
201904,천안시 동남구,943983,29009620286
201904,천안시 서북구,1553736,46463464705
201904,청양군,39347,1984831537
201904,태안군,84925,3895259173
201904,홍성군,225905,9168265703
201905,계룡시,58895,1719876699
201905,공주시,186289,7391449823
201905,금산군,68637,2778520672
201905,논산시,242508,9012322732
201905,당진시,467240,17598655506
201905,보령시,235278,9324772656
201905,부여군,86516,4088136907
201905,서산시,430867,16841064798
201905,서천군,64153,3168207280
201905,아산시,1397682,44219857365
201905,예산군,154787,6832448172
201905,천안시 동남구,1007432,30796137919
201905,천안시 서북구,1656129,49105891498
201905,청양군,44702,2222013611
201905,태안군,93399,4414080261
201905,홍성군,244965,9998579296
201906,계룡시,56498,1594771198
201906,공주시,176562,6690024605
201906,금산군,65000,2452999023
201906,논산시,232546,8054432433
201906,당진시,443114,16119795345
201906,보령시,224291,8407505365
201906,부여군,82119,3687594120
201906,서산시,417529,15413574724
201906,서천군,60629,2908182100
201906,아산시,1347846,41458875818
201906,예산군,146193,6158219056
201906,천안시 동남구,963857,28851024800
201906,천안시 서북구,1588352,45816313122
201906,청양군,41760,1933197156
201906,태안군,86615,4093916782
201906,홍성군,235017,9018204896
201907,계룡시,57559,1585121198
201907,공주시,177472,6780676758
201907,금산군,67159,2508438796
201907,논산시,232318,8014902981
201907,당진시,448686,15982538525
201907,보령시,230971,8555543111
201907,부여군,84059,3677532860
201907,서산시,422576,15637638421
201907,서천군,61194,2703504619
201907,아산시,1364894,41920992756
201907,예산군,148756,6107900317
201907,천안시 동남구,966033,29262696994
201907,천안시 서북구,1616310,47083562413
201907,청양군,41647,1886561456
201907,태안군,87540,3830641238
201907,홍성군,234380,9054511441
201908,계룡시,58108,1611915633
201908,공주시,179545,6704292776
201908,금산군,67936,2544551156
201908,논산시,238535,8084089848
201908,당진시,454677,16200498734
201908,보령시,236550,8779547322
201908,부여군,83787,3593047644
201908,서산시,431764,15916026378
201908,서천군,62231,2630424019
201908,아산시,1383691,43033314229
201908,예산군,149918,6098047157
201908,천안시 동남구,978768,29987324659
201908,천안시 서북구,1626326,47773080137
201908,청양군,42883,2024540838
201908,태안군,88780,3749705299
201908,홍성군,240088,9054471466
201909,계룡시,53050,1595669542
201909,공주시,167652,6660224186
