기준연월,시군구명,이용건수,이용금액
201901,계룡시,154976,3891267947
201901,공주시,1074268,37641721386
201901,금산군,228920,7170719017
201901,논산시,528504,20711835635
201901,당진시,1035464,35732613769
201901,보령시,508134,18381489305
201901,부여군,181028,8740547585
201901,서산시,919658,32452551956
201901,서천군,162213,5963141989
201901,아산시,2482310,72931687652
201901,예산군,327773,12428796334
201901,천안시 동남구,2205035,67440583481
201901,천안시 서북구,3238825,98622532061
201901,청양군,82657,3151983533
201901,태안군,195088,7222635345
201901,홍성군,469789,17190598529
201902,계룡시,143062,3611343251
201902,공주시,1100285,35649604387
201902,금산군,240136,6704175364
201902,논산시,512688,19037834247
201902,당진시,960207,32556316012
201902,보령시,493296,17176502523
201902,부여군,205054,9285386434
201902,서산시,854167,29932886736
201902,서천군,167918,5898367133
201902,아산시,2219156,65461586299
201902,예산군,325198,11841813738
201902,천안시 동남구,2019705,60649508132
201902,천안시 서북구,2924885,88599561050
201902,청양군,74267,2963499027
201902,태안군,194421,7450011339
201902,홍성군,452137,16629003807
201903,계룡시,161862,3941449402
201903,공주시,1198587,39312893269
201903,금산군,273674,7828090438
201903,논산시,606374,20649820621
201903,당진시,1185958,40208830748
201903,보령시,554731,19177760855
201903,부여군,224323,10454467513
201903,서산시,1044272,35428564001
201903,서천군,204037,7454473144
201903,아산시,2808692,76374616818
201903,예산군,362808,13287386482
201903,천안시 동남구,2677784,72330242817
201903,천안시 서북구,3541861,101422967099
201903,청양군,81938,3152128707
201903,태안군,252263,10071435116
201903,홍성군,556038,18574626779
201904,계룡시,161759,3852621105
201904,공주시,1218749,40049992249
201904,금산군,281702,8204697134
201904,논산시,598715,20112831408
201904,당진시,1196605,39897814275
201904,보령시,548522,19274135531
201904,부여군,228281,10037061015
201904,서산시,1073063,35948324590
201904,서천군,185579,6916689483
201904,아산시,2813003,73942590755
201904,예산군,389318,13834873796
201904,천안시 동남구,2670850,69248117730
201904,천안시 서북구,3475191,97285639815
201904,청양군,86669,3306472440
201904,태안군,312595,13183572579
201904,홍성군,560341,17966330454
201905,계룡시,174157,4175959451
201905,공주시,1295674,42236321645
201905,금산군,311069,8947159838
201905,논산시,646889,21872725926
201905,당진시,1294299,42161634979
201905,보령시,624385,21112443999
201905,부여군,263259,11108317227
201905,서산시,1146937,38612340393
201905,서천군,212293,7939777583
201905,아산시,2979021,79041464991
201905,예산군,430863,15150574011
201905,천안시 동남구,2801698,73985015514
201905,천안시 서북구,3699632,102340456778
201905,청양군,96296,3464232582
201905,태안군,377006,15076034767
201905,홍성군,604628,19717805616
201906,계룡시,166327,3939410794
201906,공주시,1235089,39903670717
201906,금산군,283446,8110969139
201906,논산시,612927,20009039021
201906,당진시,1223114,38931656877
201906,보령시,605452,19574044729
201906,부여군,239947,9953625440
201906,서산시,1075526,35286209371
201906,서천군,199901,6769158244
201906,아산시,2823000,74180160524
201906,예산군,391245,13475885308
201906,천안시 동남구,2627745,69004980952
201906,천안시 서북구,3547055,96577654662
201906,청양군,88851,3125315789
201906,태안군,353708,13780586767
201906,홍성군,566929,17689428145
201907,계룡시,171369,4088433035
201907,공주시,1216023,39738377764
201907,금산군,281068,7928055284
201907,논산시,594413,19580155994
201907,당진시,1197655,37419277658
201907,보령시,662661,20310677152
201907,부여군,249993,9695620110
201907,서산시,1047523,34689454188
201907,서천군,192319,6295232955
201907,아산시,2763075,73038563936
201907,예산군,390120,13125079163
201907,천안시 동남구,2446247,68376380393
201907,천안시 서북구,3561319,97996983088
201907,청양군,83706,2981650482
201907,태안군,344186,12821853783
201907,홍성군,532264,17112247991
201908,계룡시,177719,4144782559
201908,공주시,1331433,41169562233
201908,금산군,330780,9073195469
201908,논산시,628754,20610834663
201908,당진시,1279988,39296979318
201908,보령시,777397,23731606286
201908,부여군,255394,9834128325
201908,서산시,1118171,36360349386
201908,서천군,231267,7229517856
201908,아산시,2830409,75840219636
201908,예산군,427433,14373427478
201908,천안시 동남구,2566982,70917906397
201908,천안시 서북구,3600521,99295219857
201908,청양군,98981,3570486666
201908,태안군,463849,16375159918
201908,홍성군,586082,18639602894
201909,계룡시,160503,3814257136
201909,공주시,1261534,39826550989
201909,금산군,305319,8679795308
201909,논산시,607515,20188114168
201909,당진시,1172594,37428538112
201909,보령시,585786,19182283519
201909,부여군,244759,10071628169
201909,서산시,1032371,34080354799
201909,서천군,205649,7315028766
201909,아산시,2720119,71749464441
201909,예산군,384811,13432451136
201909,천안시 동남구,2568888,67319077369
201909,천안시 서북구,3435349,95245643493
201909,청양군,90582,3281696570
201909,태안군,325163,12367208449
201909,홍성군,585647,18646690032
201910,계룡시,166018,3911692481
201910,공주시,1282304,41789649430
201910,금산군,302949,9689730507
201910,논산시,607085,20877932646
201910,당진시,1246101,40286660617
201910,보령시,605346,20549020629
201910,부여군,240029,10938419699
201910,서산시,1077976,35810491739
201910,서천군,208146,7300988332
201910,아산시,2866621,74819843936
201910,예산군,389232,13422319746
201910,천안시 동남구,2680005,70694079943
201910,천안시 서북구,3578043,98801094641
201910,청양군,87031,3232569148
201910,태안군,380402,14948488303
201910,홍성군,593576,19207295749
201911,계룡시,154574,3792826070
201911,공주시,1243863,41653072947
201911,금산군,284670,8927878296
201911,논산시,587307,21980653903
201911,당진시,1147461,39284118572
201911,보령시,555378,20117427113
201911,부여군,224655,11314550082
201911,서산시,1002320,34670626026
201911,서천군,185058,7326291535
201911,아산시,2749046,74925056181
201911,예산군,373748,14787880073
201911,천안시 동남구,2516869,69259739159
201911,천안시 서북구,3414416,98216662500
201911,청양군,88614,3659082220
201911,태안군,266638,11251741120
201911,홍성군,552327,19180901866
201912,계룡시,155885,3979857667
201912,공주시,1161395,39465725048
201912,금산군,257851,7852686693
201912,논산시,555144,20718667703
201912,당진시,1104439,39113462084
201912,보령시,538032,19771077521
201912,부여군,202723,10137700880
201912,서산시,962662,33953212602
201912,서천군,170477,6848113238
201912,아산시,2701839,75760191518
201912,예산군,357778,14187303808
201912,천안시 동남구,2435837,69032406433
201912,천안시 서북구,3405042,101890505121
201912,청양군,83416,3437719329
201912,태안군,220114,8714693541
201912,홍성군,515416,18390032944
202001,계룡시,150480,3776956720
202001,공주시,1181846,38346098221
202001,금산군,268261,7765206946
202001,논산시,542895,20229177059
202001,당진시,1055389,35933139203
202001,보령시,536220,19134151357
202001,부여군,206155,8952596105
202001,서산시,921291,31949754104
202001,서천군,189402,6415863721
202001,아산시,2491858,71638800047
202001,예산군,361540,13414082883
202001,천안시 동남구,2147295,64211219561
202001,천안시 서북구,3228906,96967933966
202001,청양군,88215,3305062959
202001,태안군,216226,7886030060
202001,홍성군,492939,18056266313
202002,계룡시,134998,3553506241
202002,공주시,999904,35447179798
202002,금산군,209253,5872761661
202002,논산시,472532,17102772575
202002,당진시,950904,32849112777
202002,보령시,445413,15223383678
202002,부여군,157667,7149112007
202002,서산시,824412,28604944272
202002,서천군,144347,5034449684
202002,아산시,2280102,63161336431
202002,예산군,298670,10838274602
202002,천안시 동남구,1859909,55815868727
202002,천안시 서북구,2901932,84825332680
202002,청양군,64447,2534024577
202002,태안군,189968,6975027157
202002,홍성군,429124,15546559867
202003,계룡시,145984,3743102438
202003,공주시,1050219,37173448931
202003,금산군,237445,6586817323
202003,논산시,523157,17963894553
202003,당진시,1080060,36175208685
202003,보령시,496834,16548910987
202003,부여군,179541,8153039792
202003,서산시,876889,29952720099
202003,서천군,167846,5823510777
202003,아산시,2415271,64073544716
202003,예산군,333782,11785725235
202003,천안시 동남구,1826710,53328736008
202003,천안시 서북구,2791674,76828502780
202003,청양군,77576,2946319390
202003,태안군,253405,9304834260
202003,홍성군,467876,15995820776
202004,계룡시,160896,4088113379
202004,공주시,1146331,37880022500
202004,금산군,240227,6448224537
202004,논산시,559633,18559270658
202004,당진시,1212592,39448645214
202004,보령시,543353,18232590311
202004,부여군,199690,8442538973
202004,서산시,1019142,33371251864
202004,서천군,174537,5789362179
202004,아산시,2514347,66714306979
202004,예산군,353237,11909997855
202004,천안시 동남구,2045770,60004066231
202004,천안시 서북구,3101348,87532808570
202004,청양군,82064,2894085086
202004,태안군,328082,11853079774
202004,홍성군,515623,17171208663
202005,계룡시,169561,4272123541
202005,공주시,1235033,39940597604
202005,금산군,275266,7226675901
202005,논산시,609331,19825006698
202005,당진시,1300887,40937802230
202005,보령시,652208,21558780085
202005,부여군,248417,10266346988
202005,서산시,1118788,35842368968
202005,서천군,211402,6859373768
202005,아산시,2775879,74720498790
202005,예산군,405888,13208418079
202005,천안시 동남구,2303596,67705028883
202005,천안시 서북구,3460658,100369836380
202005,청양군,91300,3178202957
202005,태안군,415323,14927882830
202005,홍성군,586575,18929021907
202006,계룡시,155381,3885399740
202006,공주시,1148433,37234374020
202006,금산군,248445,6673582152
202006,논산시,558598,17962161898
202006,당진시,1209947,37336311102
202006,보령시,588868,18702850835
202006,부여군,202866,8305566911
202006,서산시,1033765,32835284089
202006,서천군,192581,6325291218
202006,아산시,2704299,69307875293
202006,예산군,368034,11985193844
202006,천안시 동남구,2208614,62660202765
202006,천안시 서북구,3295698,92036028611
202006,청양군,86803,2860068568
