기준연월,시군구명,가맹점수,휴업가맹점수,폐업가맹점수
201901,계룡시,1734,66,57
201901,공주시,6899,316,151
201901,금산군,3757,173,100
201901,논산시,7757,402,222
201901,당진시,9476,351,270
201901,보령시,7121,309,153
201901,부여군,3296,144,101
201901,서산시,10287,409,241
201901,서천군,3171,127,71
201901,아산시,16339,599,482
201901,예산군,5007,249,117
201901,천안시 동남구,15860,735,450
201901,천안시 서북구,20940,863,586
201901,청양군,1575,84,42
201901,태안군,5266,287,141
201901,홍성군,6229,295,163
201902,계룡시,1745,78,25
201902,공주시,6921,356,68
201902,금산군,3770,197,18
201902,논산시,7788,426,59
201902,당진시,9505,397,80
201902,보령시,7126,392,67
201902,부여군,3312,164,21
201902,서산시,10354,455,71
201902,서천군,3202,142,19
201902,아산시,16400,665,169
201902,예산군,5017,274,37
201902,천안시 동남구,15923,795,151
201902,천안시 서북구,21041,926,218
201902,청양군,1576,93,10
201902,태안군,5252,371,57
201902,홍성군,6261,314,48
201903,계룡시,1753,86,24
201903,공주시,6975,368,69
201903,금산군,3789,207,35
201903,논산시,7822,434,84
201903,당진시,9605,404,85
201903,보령시,7191,408,76
201903,부여군,3345,186,27
201903,서산시,10421,485,120
201903,서천군,3230,149,26
201903,아산시,16514,718,201
201903,예산군,5055,279,46
201903,천안시 동남구,16008,823,171
201903,천안시 서북구,21152,996,299
201903,청양군,1585,93,14
201903,태안군,5283,431,61
201903,홍성군,6286,318,73
201904,계룡시,1759,98,16
201904,공주시,6985,372,76
201904,금산군,3804,226,31
201904,논산시,7857,449,70
201904,당진시,9661,416,119
201904,보령시,7231,430,67
201904,부여군,3345,190,40
201904,서산시,10471,507,110
201904,서천군,3250,154,24
201904,아산시,16599,746,207
201904,예산군,5053,295,65
201904,천안시 동남구,16078,867,188
201904,천안시 서북구,21249,1080,313
201904,청양군,1594,96,10
201904,태안군,5326,461,52
201904,홍성군,6302,328,53
201905,계룡시,1761,108,18
201905,공주시,7005,374,72
201905,금산군,3822,233,30
201905,논산시,7891,439,82
201905,당진시,9674,428,99
201905,보령시,7260,446,79
201905,부여군,3345,196,34
201905,서산시,10504,527,86
201905,서천군,3275,155,21
201905,아산시,16678,765,185
201905,예산군,5066,307,54
201905,천안시 동남구,16134,881,188
201905,천안시 서북구,21360,1106,271
201905,청양군,1608,96,10
201905,태안군,5343,467,48
201905,홍성군,6307,347,57
201906,계룡시,1758,115,30
201906,공주시,7009,383,62
201906,금산군,3838,251,22
201906,논산시,7895,466,66
201906,당진시,9701,447,96
201906,보령시,7270,444,79
201906,부여군,3354,206,30
201906,서산시,10545,558,90
201906,서천군,3272,166,23
201906,아산시,16697,794,191
201906,예산군,5051,301,62
201906,천안시 동남구,16179,921,151
201906,천안시 서북구,21469,1172,252
201906,청양군,1610,95,16
201906,태안군,5363,428,38
201906,홍성군,6328,365,36
201907,계룡시,1755,128,25
201907,공주시,7021,394,81
201907,금산군,3841,270,35
201907,논산시,7917,470,79
201907,당진시,9727,461,115
201907,보령시,7306,431,85
201907,부여군,3362,206,30
201907,서산시,10533,556,116
201907,서천군,3283,178,28
201907,아산시,16753,805,224
201907,예산군,5063,293,50
201907,천안시 동남구,16210,939,225
201907,천안시 서북구,21482,1226,348
201907,청양군,1618,99,14
201907,태안군,5383,400,54
201907,홍성군,6328,392,61
201908,계룡시,1754,130,23
201908,공주시,7046,399,60
201908,금산군,3864,279,20
201908,논산시,7923,485,73
201908,당진시,9775,478,88
201908,보령시,7298,433,58
201908,부여군,3365,215,34
201908,서산시,10574,546,101
201908,서천군,3293,178,26
201908,아산시,16799,818,164
201908,예산군,5059,304,45
201908,천안시 동남구,16256,962,171
201908,천안시 서북구,21519,1185,271
201908,청양군,1618,98,15
201908,태안군,5401,370,32
201908,홍성군,6335,417,67
201909,계룡시,1760,135,21
201909,공주시,7075,394,52
201909,금산군,3868,258,31
201909,논산시,7956,501,42
201909,당진시,9787,511,94
201909,보령시,7323,464,56
201909,부여군,3372,207,26
201909,서산시,10582,586,88
201909,서천군,3296,165,26
201909,아산시,16831,847,180
201909,예산군,5073,313,31
201909,천안시 동남구,16317,1015,148
201909,천안시 서북구,21602,1238,256
201909,청양군,1614,99,17
201909,태안군,5406,364,47
201909,홍성군,6326,425,64
201910,계룡시,1769,140,26
201910,공주시,7091,419,52
201910,금산군,3886,267,25
201910,논산시,7981,540,60
201910,당진시,9821,526,108
201910,보령시,7347,475,51
201910,부여군,3385,215,21
201910,서산시,10629,608,85
201910,서천군,3298,168,26
201910,아산시,16865,890,220
201910,예산군,5087,324,39
201910,천안시 동남구,16364,1067,196
201910,천안시 서북구,21670,1284,274
201910,청양군,1627,98,9
201910,태안군,5412,362,65
201910,홍성군,6352,426,51
201911,계룡시,1779,143,23
201911,공주시,7101,437,56
201911,금산군,3885,278,27
201911,논산시,8020,562,55
201911,당진시,9845,550,94
201911,보령시,7347,487,73
201911,부여군,3394,223,18
201911,서산시,10670,632,93
201911,서천군,3298,182,32
201911,아산시,16935,919,168
201911,예산군,5095,332,43
201911,천안시 동남구,16403,1111,163
201911,천안시 서북구,21738,1348,284
201911,청양군,1633,108,9
201911,태안군,5429,382,51
201911,홍성군,6354,421,49
201912,계룡시,1782,143,21
201912,공주시,7114,443,63
201912,금산군,3894,270,23
201912,논산시,8031,563,70
201912,당진시,9866,567,110
201912,보령시,7364,493,57
201912,부여군,3397,222,34
201912,서산시,10675,642,107
201912,서천군,3300,191,37
201912,아산시,16947,987,209
201912,예산군,5096,344,55
201912,천안시 동남구,16426,1166,172
201912,천안시 서북구,21784,1387,284
201912,청양군,1650,108,10
201912,태안군,5419,420,66
201912,홍성군,6364,423,53
202001,계룡시,1772,144,31
202001,공주시,7102,462,86
202001,금산군,3875,272,46
202001,논산시,8000,599,101
202001,당진시,9848,591,142
202001,보령시,7356,505,93
202001,부여군,3386,235,33
202001,서산시,10647,673,133
202001,서천군,3285,197,52
202001,아산시,16977,1057,246
202001,예산군,5090,347,54
202001,천안시 동남구,16372,1240,245
202001,천안시 서북구,21776,1494,317
202001,청양군,1638,107,32
202001,태안군,5381,444,95
202001,홍성군,6368,432,67
202002,계룡시,1777,155,19
202002,공주시,7109,482,74
202002,금산군,3882,290,30
202002,논산시,8009,630,65
202002,당진시,9838,618,111
202002,보령시,7358,580,59
202002,부여군,3384,252,33
202002,서산시,10697,701,93
202002,서천군,3288,200,26
202002,아산시,17007,1111,188
202002,예산군,5086,374,52
202002,천안시 동남구,16396,1266,194
202002,천안시 서북구,21835,1555,248
202002,청양군,1629,112,20
202002,태안군,5384,517,54
202002,홍성군,6380,428,58
202003,계룡시,1792,157,24
202003,공주시,7127,510,70
202003,금산군,3883,302,27
202003,논산시,7987,654,98
202003,당진시,9871,621,108
202003,보령시,7347,607,86
202003,부여군,3390,250,31
202003,서산시,10707,725,110
202003,서천군,3291,213,36
202003,아산시,17069,1148,182
202003,예산군,5069,394,68
202003,천안시 동남구,16396,1307,193
202003,천안시 서북구,21841,1607,302
202003,청양군,1635,127,10
202003,태안군,5402,579,54
202003,홍성군,6394,445,59
202004,계룡시,1797,156,16
202004,공주시,7146,547,57
202004,금산군,3890,322,32
202004,논산시,8015,679,40
202004,당진시,9891,632,107
202004,보령시,7354,620,70
202004,부여군,3389,269,26
202004,서산시,10716,758,90
202004,서천군,3309,249,24
202004,아산시,17138,1217,158
202004,예산군,5082,409,43
202004,천안시 동남구,16440,1363,168
202004,천안시 서북구,21929,1736,217
202004,청양군,1645,139,8
202004,태안군,5437,656,44
202004,홍성군,6421,484,39
202005,계룡시,1798,160,26
202005,공주시,7185,574,51
202005,금산군,3900,355,23
202005,논산시,8060,688,57
202005,당진시,9962,641,81
202005,보령시,7397,623,44
202005,부여군,3394,292,19
202005,서산시,10764,804,100
202005,서천군,3333,266,17
202005,아산시,17209,1234,163
202005,예산군,5114,436,34
202005,천안시 동남구,16542,1316,121
202005,천안시 서북구,22083,1771,233
202005,청양군,1653,154,13
202005,태안군,5452,651,43
202005,홍성군,6438,488,43
202006,계룡시,1807,165,16
202006,공주시,7233,607,44
202006,금산군,3922,375,21
202006,논산시,8091,725,60
202006,당진시,10006,673,106
202006,보령시,7435,626,78
202006,부여군,3403,323,23
202006,서산시,10818,828,91
202006,서천군,3356,273,23
202006,아산시,17288,1289,197
202006,예산군,5134,475,51
202006,천안시 동남구,16600,1402,182
202006,천안시 서북구,22174,1832,260
202006,청양군,1671,167,8
202006,태안군,5484,621,45
202006,홍성군,6464,519,41
202007,계룡시,1811,163,19
202007,공주시,7252,636,59
202007,금산군,3921,420,37
202007,논산시,8117,749,60
202007,당진시,10073,684,101
202007,보령시,7493,616,69
202007,부여군,3413,322,22
202007,서산시,10855,812,117
202007,서천군,3370,276,34
202007,아산시,17335,1302,226
202007,예산군,5165,495,37
202007,천안시 동남구,16640,1438,197
202007,천안시 서북구,22260,1853,279
202007,청양군,1670,170,20
202007,태안군,5518,594,52
202007,홍성군,6475,534,57
202008,계룡시,1815,161,15
202008,공주시,7270,638,48
202008,금산군,3923,437,19
202008,논산시,8129,761,46
202008,당진시,10080,697,94
202008,보령시,7512,663,52
202008,부여군,3425,326,18
202008,서산시,10877,809,96
202008,서천군,3383,267,17
202008,아산시,17372,1347,152
202008,예산군,5161,490,42
202008,천안시 동남구,16653,1477,151
202008,천안시 서북구,22340,1879,246
202008,청양군,1682,165,8
202008,태안군,5543,548,35
202008,홍성군,6500,565,35
202009,계룡시,1813,159,17
202009,공주시,7309,609,35
202009,금산군,3947,418,16
202009,논산시,8167,757,51
202009,당진시,10151,700,80
202009,보령시,7541,642,54
202009,부여군,3436,321,20
202009,서산시,10918,804,93
202009,서천군,3403,253,21
202009,아산시,17456,1369,172
202009,예산군,5183,486,43
202009,천안시 동남구,16719,1485,128
202009,천안시 서북구,22458,1854,238
202009,청양군,1692,175,11
202009,태안군,5563,524,50
202009,홍성군,6533,562,31
202010,계룡시,1814,167,15
202010,공주시,7321,625,50
202010,금산군,3953,414,19
202010,논산시,8193,764,52
202010,당진시,10161,713,102
202010,보령시,7551,599,43
202010,부여군,3442,323,24
202010,서산시,10942,803,78
202010,서천군,3408,247,21
202010,아산시,17521,1361,152
202010,예산군,5188,478,44
202010,천안시 동남구,16760,1488,139
202010,천안시 서북구,22527,1837,236
202010,청양군,1703,164,7
202010,태안군,5573,523,52
202010,홍성군,6561,565,45
202011,계룡시,1827,171,11
202011,공주시,7336,646,62
202011,금산군,3961,404,23
202011,논산시,8222,795,70
202011,당진시,10207,746,74
202011,보령시,7576,606,37
202011,부여군,3450,317,15
202011,서산시,10984,824,62
202011,서천군,3417,257,28
202011,아산시,17588,1416,144
202011,예산군,5208,478,37
202011,천안시 동남구,16812,1562,148
202011,천안시 서북구,22606,1896,267
202011,청양군,1707,174,8
202011,태안군,5585,545,54
202011,홍성군,6577,557,46
